text,label
"PO #24415 confirmation: items generation; realize; approach. Total ₹83607.00. Ship to 1845 John Field, West Philip, CA 84240.",purchase_order
"Reimbursement: taxi ₹73616.00, lunch ₹88351.00. Employee: Andrew Carter.",expense
"Reimbursement: taxi ₹118151.00, lunch ₹48329.00. Employee: Cindy Carter DDS.",expense
Tax invoice 20604: GST 12% on amount ₹120745.00. Taxable value ₹33360. Professor national report guy improve.,tax
Expense reimbursement claim by Edward Fox for ₹176255.00 on 2025-07-10. Category: travel.,expense
Credit note 667 issued to Powers-Pace for amount ₹190287.00. Political once weight drug.,other
Credit note 8106 issued to Maldonado LLC for amount ₹5019.00.,other
Misc document: reference 425364. Notes: A of employee throw draw them.,other
Credit note 6314 issued to Cook-Cruz for amount ₹106698.00.,other
Payment request - Invoice 43690; Amount: ₹137540.00. For Accounts Payable processing. Color drug.,accounts_payable
Expense reimbursement claim by Mallory Baker for ₹158011.00 on 2025-04-01. Category: travel.,expense
"Purchase Order 90939 received for vendor Stout, Smith and Simon. Qty: 56. Total: ₹19779.00.",purchase_order
Payment request - Invoice 87288; Amount: ₹38619.00. For Accounts Payable processing.,accounts_payable
"Credit note 1924 issued to Perez, Monroe and Rojas for amount ₹155345.00.",other
Tax invoice 70283: GST 18% on amount ₹135143.00. Taxable value ₹91874. Must may how become others everybody source.,tax
Tax invoice 93886: GST 5% on amount ₹51623.00. Taxable value ₹56733.,tax
Credit note 5481 issued to Moran Group for amount ₹68602.00.,other
Payment request - Invoice 2548; Amount: ₹28441.00. For Accounts Payable processing.,accounts_payable
"Purchase Order 13302 received for vendor Smith, Powell and Robinson. Qty: 55. Total: ₹128083.00. Here behavior.",purchase_order
"PO #30863 confirmation: items while. Total ₹108917.00. Ship to 5824 Norman Causeway Suite 016, Mathisberg, OR 37478. Painting example state should group.",purchase_order
Purchase Order 65057 received for vendor Perez-Williams. Qty: 10. Total: ₹77038.00. Me could it interest guy standard.,purchase_order
Expense reimbursement claim by Steven Brewer for ₹181934.00 on 2025-01-21. Category: travel.,expense
Tax invoice 15221: GST 18% on amount ₹49219.00. Taxable value ₹42078.,tax
"Reimbursement: taxi ₹51606.00, lunch ₹153043.00. Employee: Maxwell Mitchell.",expense
Payment request - Invoice 10705; Amount: ₹38569.00. For Accounts Payable processing.,accounts_payable
"Reimbursement: taxi ₹56301.00, lunch ₹68470.00. Employee: Lisa Brady.",expense
Credit note 6505 issued to Gomez-Rodriguez for amount ₹80871.00.,other
Purchase Order 50640 received for vendor Dawson Group. Qty: 74. Total: ₹172818.00.,purchase_order
Invoice from Alvarado-Nguyen for invoice #46731 total ₹189208.00 due on 2025-06-26. Please remit payment. Professor grow general family.,accounts_payable
"Purchase Order 25583 received for vendor Porter, Garcia and Cantrell. Qty: 46. Total: ₹126102.00. Natural civil feeling there many improve create.",purchase_order
Credit note 7611 issued to Conner and Sons for amount ₹180712.00. Until number indicate talk his apply development ago argue word.,other
"Invoice from Coleman, Mata and Jones for invoice #93504 total ₹46225.00 due on 2025-11-24. Please remit payment. Foreign event despite a machine gun.",accounts_payable
Invoice from Simmons and Sons for invoice #60545 total ₹197801.00 due on 2025-07-13. Please remit payment.,accounts_payable
"PO #27399 confirmation: items similar. Total ₹145090.00. Ship to 10585 Jason Isle Suite 656, Andersenland, CO 36162.",purchase_order
Payment request - Invoice 48945; Amount: ₹142354.00. For Accounts Payable processing.,accounts_payable
Payment request - Invoice 4924; Amount: ₹82538.00. For Accounts Payable processing.,accounts_payable
"PO #63553 confirmation: items always; friend; responsibility. Total ₹23429.00. Ship to 30000 Williams Junctions, Martinezport, IL 41599.",purchase_order
Tax invoice 84093: GST 12% on amount ₹16099.00. Taxable value ₹68159.,tax
Credit note 4680 issued to Powers-Fry for amount ₹89447.00.,other
Purchase Order 55194 received for vendor Kim-Martin. Qty: 62. Total: ₹174427.00. Four ok responsibility future talk new including there Republican.,purchase_order
Tax invoice 12949: GST 5% on amount ₹196353.00. Taxable value ₹47875.,tax
TAX INVOICE - Invoice No: 48952. IGST 5 applied. Total ₹52802.00.,tax
Credit note 5313 issued to Washington Ltd for amount ₹6894.00.,other
Invoice from Green-Burns for invoice #20573 total ₹125403.00 due on 2025-01-26. Please remit payment.,accounts_payable
Misc document: reference 246099. Notes: Certainly establish final join star.,other
